x,y,name
0.297085818,0.518576432,Austin Rivers
0.187483707,0.326616111,DeAndre Jordan
0.292713379,0.819010524,Paul Pierce
0.658653613,0.27862401,Chris Paul
0.295486433,0.646758424,J.J. Redick
0.492914507,0.600277803,Blake Griffin
0.273085964,0.335331686,Ian Clark
0.098061646,0.280800288,Anderson Varejao
0.133534725,0.22781483,Zaza Pachulia
0.358953806,1,David West
0.478216939,0.588307859,Kevin Durant
0.410002558,0.542971172,Draymond Green
0.544862248,0.386523607,Shaun Livingston
0.484249863,0.620363414,Andre Iguodala
0.372702283,0.836425731,Klay Thompson
0.841206991,0.204598173,Stephen Curry
0.309461022,0.813119511,David Lee
0.14002135,0.155958673,Dewayne Dedmon
0.836274214,0.271916075,Manu Ginobili
0.412616089,0.8185959,Pau Gasol
0.353812902,0.816699651,LaMarcus Aldridge
0.171995142,0.579071558,Danny Green
0.321478766,0.955806034,Kawhi Leonard
0.23733778,0.340686961,Kyle Anderson
0.377005641,0.396878288,Patty Mills
0.906961551,0.171374348,Tony Parker
0.494112631,0.653076657,Joe Johnson
0.149257761,0.1667926,Jeff Withey
0.303462446,0.391345902,Joe Ingles
0.367362284,0.847376829,Rodney Hood
0.33079778,0.582263306,Alec Burks
0.508676017,0.727779384,Gordon Hayward
0.181824391,0.490992904,Derrick Favors
0.433836206,0.532336114,Boris Diaw
0.454867361,0.709119717,George Hill
0.184832525,0.310714793,Rudy Gobert
0.607781599,0.311287508,Shelvin Mack
0.101222116,0.33693269,Maurice Harkless
0.122068815,0.132423842,Festus Ezeli
0.078355579,0.121203443,Meyers Leonard
0.17537994,0.410936972,Allen Crabbe
0.603089789,0.551155839,Evan Turner
0.037765671,0.124748745,Ed Davis
0.120586402,0.347127668,Al-Farouq Aminu
0.104501799,0.112780929,Noah Vonleh
0.415267515,0.375169402,Shabazz Napier
0.434857669,0.55634183,C.J. McCollum
0.764255228,0.29160795,Damian Lillard
0.180686369,0.321858316,Mason Plumlee
0.175399581,0.289645147,Enes Kanter
0.163987847,0.423432752,Kyle Singler
0.235709565,0.480709024,Jerami Grant
0.156830598,0.46344886,Anthony Morrow
0.541704872,0.646707455,Victor Oladipo
0.117981012,0.196400633,Steven Adams
0.102374998,0.173150864,Nick Collison
0.68523857,0.268256314,Russell Westbrook
0.202869,0.31800787,Andre Roberson
0.455642501,0.367735161,Bobby Brown
0.281800073,0.667968382,Nene
0.446144987,0.800783417,Eric Gordon
0.232050624,0.544540626,Ryan Anderson
0.147751905,0.199183337,K.J. McDaniels
0.209711256,0.735019946,Corey Brewer
0.367335388,0.610754374,Patrick Beverley
0.293349096,0.857748323,Trevor Ariza
0.734148362,0.328577077,James Harden
0.12311266,0.136098395,Thomas Robinson
0.057317139,0.058758894,Tarik Black
0.478247416,0.815771362,Jordan Clarkson
0.030397305,0.034007743,Timofey Mozgov
0.363026798,0.930535856,Luol Deng
0.523059698,0.452640374,Lou Williams
0.259307173,0.536183126,Nick Young
0.71459808,0.249598243,Jose Calderon
0.944131099,0.190908301,Mike Conley
0.401525373,0.849534131,Chandler Parsons
0.142411656,0.19128949,Brandan Wright
0.009842953,0,JaMychal Green
0.190377135,0.397699469,Tony Allen
0.394602519,0.868891496,Marc Gasol
0.33312773,0.775017087,Zach Randolph
0.141117896,0.29273925,Vince Carter
0.190025501,0.521989581,Matt Barnes
0.128514965,0.329873542,Anthony Tolliver
0.247088528,0.357050399,Garrett Temple
0.297688964,0.840800244,Arron Afflalo
0.0596517,0.053987645,Kosta Koufos
0.070850418,0.41330383,Omri Casspi
0.953692549,0.196492637,Darren Collison
0.37905458,0.876045755,Rudy Gay
0.232295906,0.616411752,Ben McLemore
0.369192305,0.668676351,DeMarcus Cousins
0.055176495,0.110884464,Jordan Hill
0.154678135,0.435952506,Brandon Rush
0.172155745,0.197164403,Cole Aldrich
0.640950222,0.470859811,Zach LaVine
0.369773481,0.83287877,Andrew Wiggins
0.189187154,0.38126681,Nikola Pekovic
