x,y,name
0.377141583,0.055395149,DeAndre Jordan
0.431106094,0.349237185,Paul Pierce
0.96188999,1,Chris Paul
0.387796235,0.400066745,J.J. Redick
0.779387327,0.389023706,Blake Griffin
0.195898215,0.454884105,Ian Clark
0.347353648,0.186552587,Anderson Varejao
0.395751757,0.200671873,Zaza Pachulia
0.561306674,0.294584021,David West
0.809210909,0.379199171,Kevin Durant
0.507368479,0.45117711,Draymond Green
0.47833655,0.588115021,Shaun Livingston
0.652736366,0.472336208,Andre Iguodala
0.554621049,0.320580846,Klay Thompson
0.858360239,0.70736621,Stephen Curry
0.549811943,0.26642692,David Lee
0.168326057,0.08563012,Dewayne Dedmon
0.652850275,0.577427268,Manu Ginobili
0.695180444,0.31889281,Pau Gasol
0.617808928,0.194912644,LaMarcus Aldridge
0.340958647,0.318264421,Danny Green
0.476259729,0.287495013,Kawhi Leonard
0.205787166,0.430665992,Kyle Anderson
0.355508546,0.541017207,Patty Mills
0.785799083,0.733057507,Tony Parker
0.677523708,0.472634923,Joe Johnson
0.122753444,0.208165467,Jeff Withey
0.302843839,0.466019222,Joe Ingles
0.480480843,0.391195234,Rodney Hood
0.466726468,0.383638964,Alec Burks
0.622370698,0.452557935,Gordon Hayward
0.462734109,0.142776633,Derrick Favors
0.538659722,0.473880128,Boris Diaw
0.505889265,0.485868494,George Hill
0.404741809,0.132794438,Rudy Gobert
0.459186095,0.727540567,Shelvin Mack
0.269132052,0.222071892,Maurice Harkless
0.212300964,0.10259211,Festus Ezeli
0.229606042,0.267314088,Meyers Leonard
0.213681133,0.332612782,Allen Crabbe
0.570040678,0.514207087,Evan Turner
0.2866307,0.165169871,Ed Davis
0.347768552,0.237309005,Al-Farouq Aminu
0.139215092,0.176392939,Noah Vonleh
0.378878835,0.588505872,Shabazz Napier
0.507022163,0.465848494,C.J. McCollum
0.831133401,0.635250002,Damian Lillard
0.432079819,0.260012685,Mason Plumlee
0.394007651,0.084591226,Enes Kanter
0.259480226,0.230097832,Kyle Singler
0.390604304,0.280633581,Jerami Grant
0.271027986,0.277050232,Anthony Morrow
0.685665153,0.455778882,Victor Oladipo
0.315548382,0.116240116,Steven Adams
0.306116353,0.199553129,Nick Collison
0.997166313,0.785647151,Russell Westbrook
0.167782108,0.245417421,Andre Roberson
0.378017167,0.631147657,Bobby Brown
0.523123008,0.259925352,Nene
0.629653351,0.404754537,Eric Gordon
0.402705835,0.162808294,Ryan Anderson
0.293518022,0.279321895,K.J. McDaniels
0.40172614,0.316110589,Corey Brewer
0.463254618,0.436608009,Patrick Beverley
0.454869858,0.32483591,Trevor Ariza
0.802423555,0.56595597,James Harden
0.28831838,0.168112294,Thomas Robinson
0.212874611,0.170023588,Tarik Black
0.558370975,0.427672569,Jordan Clarkson
0.292039416,0.137535857,Timofey Mozgov
0.573547332,0.278053998,Luol Deng
0.533258707,0.528595015,Lou Williams
0.372911563,0.2766012,Nick Young
0.656129581,0.830284865,Jose Calderon
0.693503753,0.657935647,Mike Conley
0.547624047,0.378556627,Chandler Parsons
0.185935642,0.175604456,Brandan Wright
0.293952152,0.205699401,JaMychal Green
0.389855204,0.276296986,Tony Allen
0.618594529,0.319682744,Marc Gasol
0.61814404,0.191702837,Zach Randolph
0.230158967,0.327309726,Vince Carter
0.380611772,0.316453638,Matt Barnes
0.199668433,0.273933307,Anthony Tolliver
0.258207953,0.419339562,Garrett Temple
0.425388895,0.339180699,Arron Afflalo
0.20858744,0.124037222,Kosta Koufos
0.323274769,0.292296264,Omri Casspi
0.645582394,0.631956594,Darren Collison
0.64347761,0.254041571,Rudy Gay
0.378834656,0.275070714,Ben McLemore
0.773624699,0.256132047,DeMarcus Cousins
0.330124331,0.168943347,Jordan Hill
0.248337788,0.292305327,Brandon Rush
0.228083857,0.23757611,Cole Aldrich
0.580040464,0.518897793,Zach LaVine
0.634939864,0.231146794,Andrew Wiggins
0.431287601,0.096944845,Nikola Pekovic
0.423637842,0.225378505,Gorgui Dieng
0.295349122,0.217794477,Shabazz Muhammad
0.822940631,0.860802444,Ricky Rubio
0.476150836,0.431697003,Mike Miller
0.273520652,0.229255772,Darrell Arthur
0.355944796,0.397314509,Will Barton
0.688095018,0.714168216,Jameer Nelson
0.421817688,0.17173032,Jusuf Nurkic
0.326917081,0.320982632,Gary Harris
0.444223721,0.120742155,Kenneth Faried
0.477590693,0.260891745,Wilson Chandler
0.477341696,0.282297552,Danilo Gallinari
0.426368345,0.434728783,Leandro Barbosa
0.327911718,0.316043749,Jared Dudley
0.183442972,0.390431154,John Jenkins
0.724511561,0.554180054,Brandon Knight
0.421255114,0.084824147,Tyson Chandler
0.323845849,0.151512409,Alex Len
0.368918301,0.259055168,P.J. Tucker
0.666448187,0.601526827,Eric Bledsoe
0.524375009,0.284879953,Dirk Nowitzki
0.191289894,0.229529833,Dwight Powell
0.890795642,0.858245581,Deron Williams
0.365581111,0.256897811,Harrison Barnes
0.545691991,0.740211878,J.J. Barea
0.480986411,0.303418406,Wesley Matthews
