x,y,name
0.813852507,0.488817221,Kyrie Irving
0.463006832,0.730270157,J.R. Smith
0.897784069,0.372589373,LeBron James
0.369109365,0.526067902,Archie Goodwin
0.186037561,0.402487344,Quincy Acy
0.500849374,0.432239129,John Lucas III
0.807283608,0.457685274,Ty Lawson
0,0,Metta World Peace
0.214409202,0.54060288,JaVale McGee
0.321446388,0.582673313,Alan Anderson
0.602712213,0.539704626,Jerryd Bayless
0.498398622,0.73035548,Dion Waiters
0.193040297,0.41640058,Kevin Seraphin
0.22657027,0.44227893,Damjan Rudez
0.657018307,0.542815593,Beno Udrih
0.248558031,0.52226878,Tyler Zeller
0.130637667,0.342463436,Steve Novak
0.302508059,0.566855156,Ryan Kelly
0.231570557,0.517832104,Kris Humphries
0.467782717,0.962496187,Dwight Howard
0.341950389,0.525700287,Kent Bazemore
0.444103394,0.859427302,Paul Millsap
0.156940231,0.317233841,Mike Muscala
0.263447123,0.577279653,Tiago Splitter
0.383713222,0.696036657,Kyle Korver
0.309049561,0.581276852,Thabo Sefolosha
0.335017699,0.615383389,Tim Hardaway
0.766099462,0.461864325,Dennis Schroder
0.261283297,0.471754439,Mike Scott
0.36987471,0.734394738,Jared Sullinger
0.554230713,0.845962621,DeMar DeRozan
0.479291624,0.532694483,Cory Joseph
0.293962667,0.570638834,DeMarre Carroll
0.312741596,0.630818516,Terrence Ross
0.307670958,0.747010847,Jonas Valanciunas
0.783032149,0.433332591,Kyle Lowry
0.312373855,0.660714511,Patrick Patterson
0.585215719,0.492449268,Brian Roberts
0.374999317,0.733836242,Marvin Williams
0.338365524,0.742027264,Roy Hibbert
0.748013222,0.499646519,Ramon Sessions
0.526622626,0.757800603,Nicolas Batum
0.371511477,0.647176337,Marco Belinelli
0.376999163,0.638214685,Spencer Hawes
0.300402383,0.506202585,Jeremy Lamb
0.28775372,0.601887906,Cody Zeller
0.795943325,0.516211025,Kemba Walker
0.347192881,0.712222715,Michael Kidd-Gilchrist
0.402897048,0.638622638,Isaiah Canaan
0.847562871,0.465786682,Dwyane Wade
0.942413121,0.263195179,Rajon Rondo
0.255907862,0.610477442,Robin Lopez
0.487222982,0.784847549,Jimmy Butler
0.252221323,0.504434089,Doug McDermott
0.822151731,0.396203903,Michael Carter-Williams
0.353277724,0.652825758,Nikola Mirotic
0.301244335,0.665538645,Taj Gibson
0.194002807,0.426126398,Jason Terry
0.181862888,0.452579336,Miles Plumlee
0.606898027,0.514687796,Matthew Dellavedova
0.282790026,0.533127919,Mirza Teletovic
0.389889429,0.746297139,Michael Beasley
0.457875813,0.856047861,Greg Monroe
0.487934014,0.727564288,Khris Middleton
0.43890425,0.812462086,Jabari Parker
0.525912556,0.748583891,Giannis Antetokounmpo
0.236737488,0.55389471,John Henson
0.260613351,0.506752833,Tony Snell
0.321087489,0.592609123,Gerald Green
0.493059192,0.851675467,Al Horford
0.262876226,0.619666782,Amir Johnson
0.245188407,0.521114318,Jonas Jerebko
0.300714963,0.599681266,Jae Crowder
0.471309807,0.692691001,Marcus Smart
0.771685941,0.504576769,Isaiah Thomas
0.333173444,0.60122317,Kelly Olynyk
0.410091875,0.758635441,Avery Bradley
0.350380983,0.914594956,Andre Drummond
0.742693394,0.403460702,Ish Smith
0.227304156,0.458979416,Jon Leuer
0.748880758,0.465611607,Reggie Jackson
0.421556543,0.802469149,Tobias Harris
0.161508527,0.348712543,Aron Baynes
0.357771044,0.655481954,Marcus Morris
0.130421165,0.335608783,Reggie Bullock
0.381887174,0.769850832,Kentavious Caldwell-Pope
0.192301617,0.394070739,Anthony Bennett
0.51399428,0.64797315,Randy Foye
0.794361322,0.414070012,Greivis Vasquez
0.396916585,0.786272768,Luis Scola
0.251019572,0.57114351,Trevor Booker
0.722710226,0.505344913,Jeremy Lin
0.450189724,0.941833311,Brook Lopez
0.350324194,0.689705201,Bojan Bogdanovic
0.411683381,0.65520444,Evan Fournier
0.71186622,0.479503578,D.J. Augustin
0.445477758,0.819441625,Jeff Green
