allstar,name,fg_per_g,ws_per_48,mp_per_g,ft_per_g,fg_pct_03_10,def_rtg,usg_pct,pf_per_poss,ast_pct,ows,fga_per_g
-1,David West,5.7,0.157,30.9,2.5,0.435,99,21.9,3.9,16.1,3.1,11.7
-1,David West,4.9,0.108,28.7,1.8,0.419,102,21,4.3,20.1,1.4,10.4
-1,David West,3.1,0.184,18,0.8,0.485,98,18,5.2,15.4,2.4,5.7
-1,Klay Thompson,4.8,0.05,24.4,1.2,0.217,111,24.7,5,14.2,1.4,10.9
-1,Klay Thompson,6.2,0.07,35.8,1.6,0.25,107,21.8,4.1,10.1,1.7,14.7
-1,Klay Thompson,6.9,0.112,35.4,1.8,0.378,106,22.6,4.1,10.2,3.5,15.5
1,Klay Thompson,7.8,0.172,31.9,2.9,0.345,104,27.6,2.4,14.6,5.7,16.9
1,Klay Thompson,8.1,0.144,33.3,2.4,0.336,107,26.3,2.8,9.8,5.4,17.3
-1,Tony Wroten,0.9,0.017,7.8,0.6,0.222,104,21.7,6.8,25.2,-0.2,2.5
-1,Tony Wroten,4.8,-0.025,24.5,2.9,0.284,111,27.7,4.1,20.9,-1.8,11.2
-1,Tony Wroten,5.8,0.014,29.8,4,0.254,106,30.5,4,34.9,-0.6,14.5
-1,Tony Wroten,2.8,-0.263,18,2.5,0,112,33.5,3.7,23.3,-0.8,8.1
-1,Thaddeus Young,5.6,0.139,26,1.5,0.397,104,22.1,4.2,6.7,3.2,10.3
-1,Thaddeus Young,5.5,0.171,27.9,1.8,0.417,100,21.5,3.9,7.3,3.4,10.9
-1,Thaddeus Young,6.7,0.136,34.6,1.4,0.454,103,19.8,3.8,8.2,3.7,12.6
-1,Thaddeus Young,7.4,0.062,34.4,2.1,0.374,108,24.1,3.8,11.8,1.2,16.2
-1,Thaddeus Young,5.9,0.061,32,1.7,0.404,109,21.5,3.6,12.4,1.6,12.7
-1,Thaddeus Young,6.8,0.081,33,1.4,0.497,107,21.6,3.8,9.5,1.9,13.2
-1,Derrick Williams,3.1,0.059,21.5,2.1,0.205,106,20.7,3.4,4.5,0.6,7.5
-1,Derrick Williams,4.3,0.076,24.6,2.5,0.191,105,23.5,3.4,4.2,1,10.1
-1,Derrick Williams,2.6,0.068,23.3,2.4,0.333,109,16.2,3.2,4.7,1.3,6.2
-1,Derrick Williams,2.9,0.069,19.8,1.8,0.311,112,18.9,2.3,5.6,1.7,6.6
-1,Derrick Williams,3.2,0.12,17.9,2.4,0.296,108,23.3,2.5,8.9,2.4,7.1
-1,Rashad Vaughn,1.2,-0.036,14.3,0.2,0.24,112,13.5,3.7,5.5,-1.2,3.8
-1,C.J. Watson,1.8,0.093,13.3,0.8,0.25,101,21.4,4,26.9,0.2,4.8
-1,C.J. Watson,3.3,0.109,23.7,1.7,0.326,101,22.8,4.8,27.2,0.8,8.9
-1,C.J. Watson,2.4,0.12,19,0.9,0.244,107,17.2,4.4,17.2,2.5,5.7
-1,C.J. Watson,2.3,0.13,18.9,1.1,0.35,100,16.6,2.9,14.4,1.1,5.3
-1,C.J. Watson,3.2,0.135,24.9,2.4,0.324,104,18.8,3.9,23.3,2.2,7.3
-1,C.J. Watson,1.4,0.047,19.9,1,0.357,110,12.1,3.7,18.1,0.2,4.2
-1,John Wall,5.8,0.041,37.8,4.4,0.261,110,23.8,3.4,36,0.3,14.1
-1,John Wall,5.7,0.071,36.2,4.8,0.287,107,24.9,3,36.9,1.7,13.5
-1,John Wall,6.6,0.134,32.7,5,0.429,103,29.3,3.8,43.9,2.2,15
1,John Wall,7.1,0.128,36.3,3.9,0.248,104,27.4,3.8,40.5,4,16.3
1,John Wall,6.6,0.132,35.9,3.6,0.404,102,26.1,3.3,46.3,3.6,14.8
1,John Wall,7.4,0.098,36.2,3.5,0.302,104,28.6,2.8,46.2,2.2,17.5
-1,Tony Snell,1.7,0.063,16,0.4,0.378,104,14.9,3.6,9.1,-0.1,4.4
-1,Tony Snell,2.2,0.082,19.6,0.6,0.317,107,14.1,3.2,6.8,1.2,5.2
-1,Tony Snell,2,0.016,20.3,0.5,0.273,109,13.7,3.9,6.9,-0.5,5.3
-1,Anthony Tolliver,2.2,0.115,21,1.6,0.431,112,13.1,5.3,8.9,2.6,4.8
-1,Anthony Tolliver,1.4,0.049,17.3,0.8,0.333,108,12.2,5,3.8,0.3,3.6
-1,Anthony Tolliver,1.3,0.059,15.5,0.7,0.333,107,13.2,3.6,4.8,0.3,3.5
-1,Anthony Tolliver,2,0.117,20.3,0.5,0.182,107,12.4,3.3,5,1.9,4.8
-1,Anthony Tolliver,2.1,0.092,18.8,0.7,0.353,109,14.7,4.9,6.3,1.8,5.2
-1,Anthony Tolliver,1.8,0.1,18.6,0.4,0.143,107,12.4,3.2,5.6,1.5,4.6
-1,Joe Young,1.5,-0.009,9.4,0.5,0.304,105,24.4,3.9,26.9,-0.5,4.1
-1,Cody Zeller,2.1,0.09,17.3,1.8,0.296,102,18.9,6.2,10.4,0.4,4.9
-1,Cody Zeller,2.8,0.123,24,2,0.286,102,15.6,5.4,10.9,1.6,6
-1,Cody Zeller,3.2,0.169,24.3,2.4,0.439,102,15.4,5.8,6.3,3.6,6
-1,Tyler Zeller,3.2,0.048,26.4,1.6,0.385,110,15.9,6.4,7.4,0.8,7.3
-1,Tyler Zeller,2.2,0.12,15,1.2,0.362,107,17.1,6.7,5.6,1.5,4.1
-1,Tyler Zeller,4.1,0.179,21.1,1.9,0.463,105,19.6,5.9,10.8,4.5,7.5
-1,Tyler Zeller,2.3,0.114,11.8,1.5,0.301,105,23,6.7,6.6,0.8,4.8
-1,Jeff Teague,1.9,0.083,13.8,1.1,0.458,105,20.3,4.6,23.3,0.4,4.3
-1,Jeff Teague,4.8,0.131,33.1,2.1,0.436,102,19.1,3.5,24.3,3,10.2
-1,Jeff Teague,5.5,0.111,32.9,2.5,0.386,106,23,3.6,36.1,3.5,12.2
-1,Jeff Teague,5.8,0.098,32.2,4,0.381,109,25.7,3.2,35.1,3.3,13.2
1,Jeff Teague,5.6,0.166,30.5,3.8,0.362,104,25.3,3.2,37.9,5,12.2
-1,Jeff Teague,5.5,0.125,28.5,3.3,0.338,104,26.6,3.7,34.4,2.8,12.5
-1,Justise Winslow,2.5,0.054,28.6,1,0.383,105,12.5,4.2,7.4,-0.2,5.9
-1,Delon Wright,1.3,0.124,8.5,1,0.333,106,22.1,1.6,22.5,0.3,3
-1,John Lucas III,0.5,-0.121,5,0,,110,17.8,0,15,0,1.5
-1,John Lucas III,2.9,0.143,14.8,0.6,0.474,102,26,3.1,25.8,1.2,7.3
-1,John Lucas III,2,0.061,13.1,0.3,0.395,111,20.8,3.2,21.5,0.7,5.3
-1,John Lucas III,1.5,-0.058,14.1,0.2,0.207,116,17,3.6,11.1,-0.7,4.5
-1,John Lucas III,2,0.058,13,0.2,0.286,111,19.9,3.4,36,0.2,5
-1,DeAndre Liggins,0.7,0,6.8,0.5,0.167,104,17.7,2.8,7.1,-0.1,1.5
-1,DeAndre Liggins,0.5,0.092,7.4,0.2,0.429,101,10.8,5.9,7.2,0.1,1.2
-1,DeAndre Liggins,1,2.123,1,0,1,116,47.8,0,0,0,1
-1,Jonas Valanciunas,3.3,0.127,23.9,2.4,0.46,106,16.9,6.7,5,2.5,5.9
-1,Jonas Valanciunas,4.4,0.141,28.2,2.4,0.488,104,18.5,5.7,4.2,3.5,8.3
