,fg3a_heave,dbpm,pts_per_poss,fg2a_per_poss,ft_pct,usg_pct,fg3_pct,gs,pct_fga_00_03,tov_per_g,pos,ows,ws,ast_per_g,fg3a_pct_fga,fga_per_poss,fg3_per_g,vorp,fg2_pct,tov_per_poss,fg2_pct_ast,per,mp,fg2a_per_g,off_rtg,stl_per_g,team_id,pts_per_g,pf_per_poss,fg_pct_16_xx,fg3a_per_fga_pct,pct_fga_03_10,blk_per_g,ws_per_48,drb_per_g,fg3_heave,fg3_per_poss,orb_per_g,stl_per_poss,fg_pct,fta_per_fga_pct,fg2a_pct_fga,pct_fg3a_corner,fg_pct_00_03,fg3_pct_ast,stl_pct,fg3a_per_g,ast_pct,mp_per_g,efg_pct,dws,orb_per_poss,blk_pct,trb_per_poss,age,ast_per_poss,avg_dist,year,fg_pct_10_16,fga_per_g,blk_per_poss,fg2_per_poss,fg3_pct_corner,fg3a_per_poss,drb_per_poss,ts_pct,ft_per_g,fg_pct_03_10,fg2_per_g,fg_per_g,bpm,g,trb_pct,ft_per_poss,lg_id,drb_pct,def_rtg,orb_pct,fg2_dunk,tov_pct,fta_per_poss,pf_per_g,name,fta_per_g,obpm,pct_fga_10_16,trb_per_g,pct_fg2_dunk,pct_fga_16_xx,fg_per_poss,allstar
158,0,0.4,11.2,4.1,0.737,11.8,0.286,13,0.213,0.5,PF,0,0.2,0.9,0.613,10.7,0.7,-0.1,0.452,1.3,0.714,6.8,390,1.6,98,0.5,DAL,4.2,4.3,0.5,0.613,0.05,0.3,0.029,1.4,0,1.9,0.6,1.2,0.35,0.238,0.388,0.408,0.529,1,1.2,2.5,6.9,19.5,0.438,0.2,1.6,1.2,5.3,23,2.3,17.2,2016-17,0,4,0.7,1.9,0.3,6.5,3.7,0.475,0.7,0.25,0.7,1.4,-2.6,20,5.8,1.9,NBA,8.9,110,3.2,3,10.2,2.5,1.6,Dorian Finney-Smith,1,-3,0.025,2,0.063,0.1,3.7,0
159,0,4.1,15.5,14.1,0.333,17.2,1,0,0.273,0,C,0,0.1,0.2,0.091,15.5,0.1,0,0.3,0,0.667,17,37,1.1,102,0,DAL,1.2,2.8,0.667,0.091,0,0.4,0.099,1.1,0,1.4,0.4,0,0.364,0.545,0.909,0,0,1,0,0.1,9.1,4.1,0.409,0.1,5.6,9.8,19.7,24,2.8,12.5,2016-17,0.25,1.2,5.6,4.2,,1.4,14.1,0.403,0.2,,0.3,0.4,-1.4,9,21.5,2.8,NBA,33.4,101,11.4,0,0,8.4,0.2,A.J. Hammons,0.7,-5.6,0.364,1.6,0,0.273,5.6,0
163,0,1,12.5,6.4,0.727,11.3,1,1,0.526,0.7,SG,0.2,0.3,0.8,0.158,7.6,0.3,0.1,0.438,3.2,0.429,10.4,123,1.3,115,0.4,CLE,2.6,6.4,0.333,0.158,0.105,0.1,0.103,1.2,0,1.2,0.5,2,0.526,0.579,0.842,0.667,0.6,1,2,0.3,11.1,10.3,0.605,0.1,2.4,0.6,8,28,4,8.6,2016-17,0,1.6,0.4,2.8,1,1.2,5.6,0.65,0.7,0,0.6,0.8,-0.1,12,8.9,3.2,NBA,12,108,5.6,0,25.1,4.4,1.3,DeAndre Liggins,0.9,-1.2,0.053,1.7,0.053,0.158,4,0
168,0,-0.7,22.6,16.8,0.833,19.4,,20,0.538,1.6,C,1.4,1.9,0.9,0,16.8,0,0.2,0.538,2.8,0.63,19,561,9.3,118,0.4,TOR,12.5,4.8,0.444,0,0.204,0.8,0.163,6.3,0,0,3.2,0.7,0.538,0.323,1,,0.57,,0.7,0,4.6,28.1,0.538,0.6,5.7,2.5,17,24,1.5,5.8,2016-17,0.367,9.3,1.4,9,,0,11.3,0.589,2.5,0.632,5,5,-0.4,20,19.1,4.5,NBA,25.3,107,12.8,22,12.7,5.4,2.7,Jonas Valanciunas,3,0.2,0.161,9.4,0.129,0.097,9,0
175,0,-0.3,17.2,9.4,0.591,17.8,0.208,0,0.417,1.1,PF,0.1,0.3,0.9,0.333,14.1,0.3,0,0.625,3.9,0.467,13.1,242,2.7,103,0.5,BRK,4.9,6.4,0,0.333,0.208,0.2,0.054,2.5,0,1,1.5,1.8,0.486,0.306,0.667,0.375,0.7,1,1.8,1.3,11,13.4,0.521,0.2,5.3,1,14.1,36,3.3,11,2016-17,0.333,4,0.6,5.9,0.222,4.7,8.8,0.539,0.7,0.533,1.7,1.9,-1.8,18,15.7,2.5,NBA,19.6,110,11.7,1,19.7,4.3,1.8,Luis Scola,1.2,-1.5,0.042,4,0.014,0.014,6.8,0
180,0,-1.6,26.7,9.7,0.957,19.6,0.44,0,0.116,0.5,SF,1.3,1.6,0.7,0.512,19.8,1.8,0.5,0.55,1.2,0.409,19.2,419,3.8,126,1,TOR,10.5,3.7,0.481,0.512,0.067,0.3,0.18,1.6,0,4.5,0.3,2.4,0.494,0.14,0.488,0.345,0.737,0.892,2.4,4,5.5,20,0.607,0.3,0.7,1.3,4.7,25,1.8,18.4,2016-17,0.435,7.8,0.7,5.3,0.448,10.1,4,0.635,1,0.636,2.1,3.9,2.8,21,5.3,2.7,NBA,8.9,109,1.6,6,5.4,2.8,1.5,Terrence Ross,1.1,4.4,0.14,1.9,0.037,0.165,9.8,0
182,0,-1.3,21.4,8.4,0.778,16.9,0.438,4,0.342,0.5,SG,0.6,0.8,1.1,0.438,14.9,0.8,0.2,0.512,1.8,0.476,15.2,248,2.3,124,0.4,TOR,5.8,6.3,0.4,0.438,0.123,0.1,0.154,1.7,0,2.9,0.2,1.6,0.479,0.37,0.562,0.563,0.6,1,1.6,1.8,11.5,13.8,0.575,0.2,0.6,0.7,6.9,23,4.1,13.4,2016-17,1,4.1,0.4,4.3,0.444,6.5,6.3,0.619,1.2,0.222,1.2,1.9,0.9,18,7.8,4.3,NBA,14.2,110,1.4,2,9.6,5.5,1.7,Norman Powell,1.5,2.2,0.027,1.9,0.027,0.068,7.1,0
189,1,0.7,13.7,4.2,0.724,13,0.352,0,0.101,0.6,PF,0.7,1.2,1.6,0.665,12.6,1.7,0.6,0.377,1.1,0.45,10.9,635,2.4,111,1,TOR,7.8,4.3,0.333,0.665,0.101,0.4,0.093,4.7,1,2.9,1.1,1.7,0.361,0.184,0.335,0.324,0.375,0.973,1.7,4.8,7.5,28.9,0.478,0.6,1.9,1.2,10.2,27,2.9,19.5,2016-17,0.417,7.2,0.7,1.6,0.412,8.4,8.3,0.504,1,0.375,0.9,2.6,1.9,22,11.5,1.7,NBA,18.6,108,4.3,1,7.6,2.3,2.5,Patrick Patterson,1.3,1.3,0.076,5.8,0.006,0.057,4.5,0
192,0,6.4,14.1,7.3,0.714,9.5,,0,0.837,0.7,C,0.9,1.4,0.7,0,7.3,0,0.9,0.791,1.9,0.824,20.5,298,2.7,144,1.1,TOR,5.2,7,0.5,0,0.093,1.9,0.227,2.8,0,0,1.6,3.1,0.791,0.488,1,,0.861,,3.1,0,5.1,18.6,0.791,0.5,4.4,8.8,11.9,24,1.9,1.9,2016-17,0,2.7,5.1,5.8,,0,7.5,0.794,0.9,0.5,2.1,2.1,9.4,16,13.4,2.5,NBA,16.8,100,10,21,17.4,3.6,2.6,Lucas Nogueira,1.3,2.9,0.023,4.4,0.512,0.047,5.8,0
199,1,-0.8,28.1,11,0.844,24.1,0.435,22,0.186,2.9,PG,2.9,3.4,7.6,0.462,20.5,3,1.6,0.458,3.9,0.159,22.2,823,8.1,121,1.5,TOR,20.8,3.8,0.321,0.462,0.216,0.3,0.201,3.8,0,4.1,1,2,0.447,0.327,0.538,0.097,0.677,0.567,2,7,30.8,37.4,0.548,0.6,1.4,0.7,6.6,30,10.3,15.8,2016-17,0.471,15.1,0.4,5,0.4,9.5,5.2,0.6,4.2,0.319,3.7,6.8,5.8,22,7.4,5.7,NBA,11.6,110,3.2,0,14.4,6.7,2.8,Kyle Lowry,5,6.6,0.051,4.9,0,0.084,9.2,0
205,0,-0.9,20.7,14.2,0.784,19.1,0.367,0,0.277,1,SG,0.7,1,2.4,0.189,17.5,0.5,0.2,0.488,2.3,0.175,14.9,460,5.9,112,0.8,TOR,8.5,4.1,0.395,0.189,0.164,0.1,0.106,2,0,1.2,0.5,1.9,0.465,0.233,0.811,0.367,0.659,1,1.9,1.4,16.9,20.9,0.5,0.3,1.2,0.6,6.1,25,5.8,12.5,2016-17,0.375,7.2,0.3,6.9,0.182,3.3,4.8,0.536,1.3,0.423,2.9,3.4,-0.2,22,6.8,3.2,NBA,10.9,110,2.7,0,10.7,4.1,1.7,Cory Joseph,1.7,0.7,0.101,2.5,0,0.27,8.1,0
212,1,1.7,20.7,9.7,0.786,18.8,0.344,0,0.429,1.7,PF,0.4,1.1,1.9,0.396,16.1,1.1,0.4,0.548,3.6,0.275,15,488,4.7,106,0.8,MIA,9.9,5,0.143,0.396,0.11,1,0.104,3.8,0,2.2,0.9,1.6,0.468,0.273,0.604,0.262,0.561,0.952,1.6,3.1,12.2,24.4,0.536,0.6,1.9,3.2,9.7,29,3.9,12.4,2016-17,1,7.7,2.1,5.3,0.438,6.4,7.9,0.574,1.7,0.647,2.6,3.6,1.5,20,10.2,3.5,NBA,16.9,104,3.9,4,16.5,4.4,2.4,James Johnson,2.1,-0.1,0.013,4.7,0.026,0.045,7.5,0
219,2,-1.6,39.5,27,0.839,34.2,0.282,22,0.148,2.6,SG,2.7,3.2,4.4,0.085,29.5,0.5,0.7,0.494,3.7,0.236,25.8,789,19.1,115,1.3,TOR,28,2.7,0.415,0.085,0.226,0,0.195,4.4,0,0.7,1,1.9,0.476,0.433,0.915,0.385,0.647,0.818,1.9,1.8,21.6,35.9,0.488,0.5,1.3,0.1,7.6,27,6.2,12.6,2016-17,0.542,20.9,0.1,13.3,0.533,2.5,6.2,0.562,7.6,0.452,9.5,10,1.7,22,8.5,10.7,NBA,14,110,3,9,9.4,12.8,1.9,DeMar DeRozan,9,3.4,0.233,5.4,0.02,0.309,14,0
226,0,-0.2,19.3,6.4,0.714,15.6,0.368,18,0.136,0.4,SF,0.9,1.3,1.1,0.592,15.6,1.8,0.5,0.55,0.8,0.697,14.4,478,3.3,120,1.1,TOR,10.1,4,0.583,0.592,0.156,0.5,0.13,2.8,0,3.4,0.6,2.1,0.442,0.19,0.408,0.379,0.75,0.938,2.1,4.8,5.6,26.6,0.551,0.4,1.2,1.6,6.6,30,2,17.8,2016-17,0.6,8.2,1,3.5,0.394,9.2,5.4,0.571,1.1,0.348,1.8,3.6,2.5,18,7.4,2.1,NBA,12.1,109,2.6,2,4.8,3,2.1,DeMarre Carroll,1.6,2.7,0.034,3.4,0.014,0.082,6.9,0
229,0,7.7,13.8,4.6,,20.3,0.5,0,0,0.7,SF,0,0,1,0.667,13.8,0.3,0,0,9.2,,18.5,11,0.3,93,0.7,TOR,1,9.2,0,0.667,0,0,0.122,1,0,4.6,0.3,9.2,0.333,0,0.333,0.5,,1,9.2,0.7,36.4,3.7,0.5,0,4.6,0,18.4,21,13.8,21.7,2016-17,,1,0,0,0,9.2,13.8,0.5,0,,0,0.3,8.8,3,20.7,0,NBA,30.9,88,10.4,0,40,0,0.7,Bruno Caboclo,0,1.1,0,1.3,0,0.333,4.6,0
235,0,3,10.8,8.2,0.5,12.5,,7,0.549,1.5,C,-0.1,0.8,1.1,0,8.2,0,0,0.451,3,0.756,10.4,567,4.1,96,0.2,ORL,5.5,5.2,0,0,0.385,1.4,0.065,6,0,0,2.4,0.4,0.451,0.835,1,,0.6,,0.4,0,6.6,25.8,0.451,0.9,4.8,4.2,16.5,24,2.2,3.6,2016-17,0.333,4.1,2.8,3.7,,0,11.8,0.482,1.7,0.286,1.9,1.9,-2.2,22,17.4,3.4,NBA,25,102,10,16,21,6.8,2.6,Bismack Biyombo,3.5,-5.1,0.033,8.4,0.22,0.033,3.7,0
239,0,-2.9,22.2,7.6,0.65,19.8,0.29,1,0.291,0.4,PF,0.3,0.3,0.6,0.564,17.4,0.6,0,0.625,1.9,0.4,17,149,1.7,113,0.3,BRK,5,2.9,0,0.564,0.109,0,0.11,2.2,0,2.9,1,1.3,0.436,0.364,0.436,0.387,0.813,1,1.3,2.2,8.7,10.6,0.518,0.1,4.4,0,14.3,23,2.5,15,2016-17,0,3.9,0,4.8,0.167,9.8,9.8,0.549,0.9,0.333,1.1,1.7,-1.9,14,15.9,4.1,NBA,21.9,111,9.9,7,8.6,6.3,0.6,Anthony Bennett,1.4,0.9,0.018,3.2,0.127,0.018,7.6,0
244,0,1.5,26.8,20.6,0.54,23.6,,22,0.465,2,C,1.2,2.7,0.7,0,20.6,0,0.4,0.549,3,0.54,23.6,738,13.5,110,0.7,MIA,17.6,5.1,0.5,0,0.374,2.5,0.177,10.4,0,0,4.3,1.1,0.549,0.38,1,,0.725,,1.1,0,4,33.5,0.549,1.5,6.6,5.8,22.4,27,1.1,5.2,2016-17,0.308,13.5,3.8,11.3,,0,15.8,0.558,2.8,0.396,7.4,7.4,0.1,22,23.5,4.2,NBA,34,98,13.5,46,11.3,7.8,3.3,Hassan Whiteside,5.1,-1.4,0.088,14.7,0.172,0.074,11.3,0
251,0,-0.1,31.9,20.8,0.827,28.5,0.354,20,0.253,2.3,SG,1.1,2,3.4,0.201,26,1.2,0.7,0.467,3.7,0.364,20.8,627,13,109,1.6,CHI,19.9,3.4,0.405,0.201,0.136,0.7,0.15,2.9,0,1.8,1.4,2.5,0.444,0.321,0.799,0.108,0.646,0.478,2.5,3.3,19.2,31.4,0.48,0.8,2.2,1.7,6.8,35,5.5,12.9,2016-17,0.364,16.2,1.1,9.7,0.714,5.2,4.7,0.537,4.3,0.364,6.1,7.2,2.3,20,7.1,6.9,NBA,9.6,105,4.5,9,11.1,8.3,2.2,Dwyane Wade,5.2,2.5,0.17,4.3,0.037,0.244,11.6,0
259,0,-0.6,19.9,9.5,0.692,19.4,0.362,9,0.124,1.2,SG,0,0.4,1.8,0.504,19.2,1.9,0.1,0.426,2.2,0.276,10.6,365,5.2,99,0.8,MIA,10.9,4.8,0.333,0.504,0.073,0.5,0.046,2.5,0,3.5,0.6,1.5,0.394,0.095,0.496,0.217,0.529,0.84,1.5,5.3,10.2,28.1,0.485,0.3,1.1,1.5,5.6,23,3.2,18.5,2016-17,0.5,10.5,1,4.1,0.533,9.7,4.5,0.497,0.7,0.4,2.2,4.2,-1.2,13,5.9,1.3,NBA,9.7,108,2.3,2,10.1,1.8,2.6,Josh Richardson,1,-0.5,0.102,3.1,0.022,0.197,7.6,0
266,0,1.4,11.5,12.4,0.714,16.8,0.25,5,0.348,1.2,PF,-0.3,-0.1,2.3,0.182,15.1,0.2,-0.1,0.333,3.4,0.5,8,223,4.2,84,0.6,MIA,3.8,4.4,0.25,0.182,0.152,0.2,-0.016,2.7,0,0.7,1.1,1.8,0.318,0.106,0.818,0.167,0.565,1,1.8,0.9,20,17.2,0.341,0.3,3.2,1,11.2,29,6.9,10.9,2016-17,0.154,5.1,0.7,4.1,0,2.8,8,0.362,0.4,0.1,1.4,1.6,-3.2,13,11.8,1.1,NBA,17.3,105,6.6,3,17.8,1.6,1.5,Josh McRoberts,0.5,-4.6,0.197,3.8,0.061,0.121,4.8,0
269,1,0.9,21.9,12.8,0.759,19.7,0.385,0,0.276,1.1,SG,1,1.7,3.1,0.289,18,1.2,0.6,0.431,1.8,0.478,16.3,638,7.6,111,1.2,MIA,13,3.4,0.333,0.289,0.16,0.5,0.13,4,0,2,0.7,2.1,0.418,0.351,0.711,0.108,0.565,0.96,2.1,3.1,16.7,30.4,0.473,0.8,1.1,1.3,7.9,24,5.3,13.6,2016-17,0.3,10.7,0.9,5.5,0.571,5.2,6.7,0.525,2.9,0.389,3.3,4.5,1.9,21,8.2,4.8,NBA,14.5,105,2.3,10,8.1,6.3,2,Tyler Johnson,3.8,1,0.089,4.7,0.044,0.187,7.5,0
276,0,-0.7,7.5,8.7,0.5,10.6,0,0,0.375,0,PF,0,0,0.1,0.125,10,0,-0.1,0.286,0,0.5,3,41,1,84,0.1,MIA,0.9,8.7,0,0.125,0.125,0,0.009,1.1,0,0,0.3,1.2,0.25,0.5,0.875,1,0.667,,1.2,0.1,3.4,5.9,0.25,0,2.5,0,12.5,36,1.2,10.6,2016-17,,1.1,0,2.5,0,1.2,10,0.307,0.3,0,0.3,0.3,-7.4,7,13.1,2.5,NBA,21.5,106,5.1,1,0,5,1,Udonis Haslem,0.6,-6.8,0,1.4,0.125,0.375,2.5,0
282,0,-2.1,17.9,10.4,0.75,22.9,0.269,0,0.118,0.6,SG,-0.2,-0.1,1.3,0.51,21.2,0.6,-0.1,0.32,2.9,0.625,7.5,120,2.1,87,0.3,BOS,3.6,5,0,0.51,0.137,0.1,-0.035,1.4,0,2.9,0.3,1.2,0.294,0.157,0.49,0.231,0.333,1,1.2,2.2,19.4,10,0.363,0.1,1.7,0.7,8.7,31,6.7,17.4,2016-17,0.429,4.3,0.4,3.3,0.167,10.8,7.1,0.394,0.5,0.429,0.7,1.3,-5.8,12,9.5,2.5,NBA,15.4,109,3.6,0,11.4,3.3,1,Gerald Green,0.7,-3.8,0.137,1.8,0.02,0.098,6.2,0
289,0,-1.2,27.5,16.7,0.792,25.9,0.41,17,0.267,2.9,PG,0.9,1.4,6.5,0.247,22.2,1.5,0.6,0.457,4.5,0.188,18.5,569,10.9,108,1.1,MIA,18,4.4,0.4,0.247,0.206,0.2,0.119,2.9,0,2.2,0.9,1.7,0.445,0.312,0.753,0.377,0.576,0.84,1.7,3.6,34,33.5,0.496,0.5,1.3,0.5,5.8,30,10,12.1,2016-17,0.308,14.5,0.4,7.6,0.565,5.5,4.5,0.545,3.6,0.451,5,6.5,1.9,17,6.1,5.5,NBA,9.7,108,2.8,0,15.1,6.9,2.9,Goran Dragic,4.5,3,0.158,3.8,0,0.121,9.9,0
296,1,0,13.1,9.8,0.71,15.2,0.283,24,0.281,0.8,SF,-0.3,0,1.3,0.337,14.7,0.7,-0.1,0.364,1.6,0.488,8.8,586,4.9,93,1,LAL,6.6,2.5,0.188,0.337,0.124,0.2,0.002,3.8,0,1.4,1.2,2.1,0.337,0.174,0.663,0.35,0.56,1,2.1,2.5,7.2,24.4,0.385,0.3,2.3,0.6,9.8,31,2.5,14.2,2016-17,0.214,7.4,0.3,3.6,0.429,5,7.5,0.415,0.9,0.273,1.8,2.5,-2.9,24,11.1,1.8,NBA,17.5,111,5.1,4,9,2.6,1.3,Luol Deng,1.3,-2.9,0.079,5,0.028,0.18,5,0
304,0,-6.8,24.3,12.2,0,20.3,,0,1,0,C,0,0,0,0,12.2,0,0,1,0,1,13.4,4,1,78,0,ATL,2,0,,0,0,0,-0.038,1,0,0,0,0,1,2,1,,1,,0,0,0,4,1,0,0,0,12.2,24,0,0,2016-17,,1,0,12.2,,0,12.2,0.532,0,,1,1,-14.5,1,13.8,0,NBA,27.5,106,0,1,0,24.3,0,Walter Tavares,2,-7.8,0,1,1,0,12.2,0
317,0,3.8,14.4,9.3,0.636,13.6,0.281,5,0.37,1,SF,0.3,1.3,1.9,0.252,12.4,0.5,0.6,0.558,2,0.566,14.4,497,4.8,106,2.1,ATL,7.4,2.5,0.52,0.252,0.102,0.3,0.126,3.6,0,0.9,1,4,0.488,0.173,0.748,0.375,0.681,0.889,4,1.6,11.1,24.9,0.524,1,2,1,9,32,3.6,12,2016-17,0.3,6.4,0.6,5.2,0.167,3.1,7,0.538,0.7,0.385,2.7,3.1,2.6,20,10.2,1.4,NBA,15.9,99,4.5,10,12.8,2.2,1.3,Thabo Sefolosha,1.1,-1.1,0.079,4.6,0.079,0.197,6.1,0
322,0,0,3.5,6.9,,17,0,0,0,0.7,PF,-0.1,-0.1,2,0.556,15.6,0,-0.1,0.25,3.5,1,-1.2,28,1.3,53,0,ATL,0.7,1.7,,0.556,0.111,0,-0.187,2.3,0,0,0.3,0,0.111,0,0.444,0.4,,,0,1.7,28.2,9.3,0.111,0,1.7,0,13.9,28,10.4,19.3,2016-17,0.333,3,0,1.7,0,8.7,12.2,0.111,0,0,0.3,0.3,-10.4,3,15.8,0,NBA,27.5,106,4,0,18.2,0,0.3,Mike Scott,0,-10.4,0.333,2.7,0,0,1.7,0
326,0,-1.4,25.7,16.9,0.788,26.5,0.333,23,0.361,3,PG,0.3,1,6.1,0.262,22.9,1.2,0.1,0.473,4.9,0.214,15.5,681,10.3,101,0.8,ATL,15.7,2.1,0.385,0.262,0.15,0.2,0.067,2.7,0,2,0.5,1.3,0.436,0.206,0.738,0.143,0.543,0.679,1.3,3.7,34.9,29.6,0.48,0.7,0.8,0.6,5.1,23,10,11.7,2016-17,0.457,14,0.4,8,0.583,6,4.4,0.514,2.3,0.375,4.9,6.1,-1.5,23,5.8,3.7,NBA,9.8,107,1.8,0,16.3,4.7,1.3,Dennis Schroder,2.9,-0.1,0.109,3.1,0,0.121,10,0
331,0,1.5,19.1,9.7,0.794,15.6,0.425,3,0.312,1.2,C,0.9,1.5,1.4,0.284,13.5,0.7,0.5,0.604,2.7,0.885,15.7,508,4.4,117,0.6,ATL,8.7,3.9,0.55,0.284,0.092,0.7,0.146,2.9,0,1.6,1.2,1.2,0.553,0.241,0.716,0.325,0.773,1,1.2,1.7,10.1,22.1,0.613,0.7,2.7,2.7,9,25,3.2,12.9,2016-17,0.458,6.1,1.6,5.8,0.385,3.8,6.3,0.641,1.2,0.385,2.7,3.4,1.6,23,10.2,2.6,NBA,14.3,105,6.1,6,15.2,3.3,1.8,Mike Muscala,1.5,0.1,0.17,4.1,0.043,0.142,7.5,0
338,0,3,24.8,15.8,0.739,23.8,0.306,20,0.255,2.4,PF,0.6,1.8,3.5,0.225,20.4,1,0.8,0.498,3.5,0.528,18.1,655,10.7,104,1.8,ATL,16.7,3.9,0.304,0.225,0.215,0.9,0.131,6.5,0,1.4,1.6,2.6,0.455,0.32,0.775,0.129,0.671,0.947,2.6,3.1,17.4,32.8,0.489,1.2,2.3,2.2,11.9,31,5.1,11.9,2016-17,0.443,13.8,1.3,7.9,0.625,4.6,9.6,0.532,3.3,0.424,5.3,6.3,2.9,20,13.5,4.8,NBA,21.6,100,5.2,2,13,6.5,2.7,Paul Millsap,4.4,-0.1,0.222,8,0.007,0.084,9.3,0
345,0,0.4,15.2,4.8,0.875,14,0.398,19,0.066,1.6,SG,0.2,0.8,2,0.616,12.4,1.8,0.2,0.517,2.7,0.867,9.4,591,2.8,102,0.9,ATL,8.8,2.9,0.476,0.616,0.02,0.3,0.066,2.3,0,3,0,1.6,0.444,0.106,0.384,0.215,0.6,1,1.6,4.4,10.7,28.1,0.566,0.6,0.1,0.9,4.1,35,3.5,21.1,2016-17,0.75,7.2,0.6,2.5,0.5,7.6,4,0.585,0.7,0.333,1.4,3.2,-0.9,21,4.7,1.2,NBA,9.1,106,0.2,0,17.3,1.3,1.7,Kyle Korver,0.8,-1.3,0.026,2.4,0,0.278,5.5,0
352,0,2.9,23.1,13.4,0.9,19.9,0.364,12,0.243,1.4,C,1,1.5,5.3,0.297,19,1.3,0.7,0.548,2.2,0.649,21.4,389,8.7,118,0.6,BOS,15,3.7,0.56,0.297,0.182,2.6,0.181,5.3,0,2.1,1.2,0.9,0.493,0.135,0.703,0.114,0.806,1,0.9,3.7,26,32.4,0.547,0.5,1.8,6.6,9.9,30,8.1,13.5,2016-17,0.2,12.3,4,7.3,0.2,5.7,8.1,0.574,1.5,0.407,4.8,6.1,5.2,12,10.8,2.3,NBA,17.6,105,3.9,9,9.8,2.6,2.4,Al Horford,1.7,2.3,0.101,6.4,0.068,0.169,9.4,0
356,1,-2.4,25.4,10.6,0.63,22.1,0.308,1,0.286,0.8,SG,0.6,1,1.5,0.495,20.9,1.4,0,0.613,1.9,0.538,14.4,488,4.6,108,0.4,ATL,11.1,2.4,0.5,0.495,0.071,0.2,0.099,1.5,0,3.2,0.2,1,0.462,0.219,0.505,0.231,0.7,0.813,1,4.5,12,21.2,0.538,0.4,0.5,0.8,3.9,24,3.5,15.8,2016-17,0.692,9.1,0.5,6.5,0.417,10.4,3.4,0.554,1.3,0.333,2.8,4.2,-1.8,23,4.4,2.9,NBA,7.7,108,1.1,11,7.6,4.6,1,Tim Hardaway,2,0.6,0.062,1.7,0.057,0.086,9.7,0
361,1,1.3,19.2,12.6,0.795,22.1,0.292,22,0.267,1.9,SF,-0.7,0.2,2.6,0.366,19.9,1.2,0,0.396,3.4,0.525,10.1,594,7,89,1.6,ATL,10.7,4.1,0.34,0.366,0.099,0.6,0.019,2.6,0,2.1,0.6,2.9,0.358,0.181,0.634,0.382,0.523,0.923,2.9,4,14.8,27,0.412,0.9,1.1,1.7,5.8,27,4.7,14.9,2016-17,0.533,11,1.1,5,0.324,7.3,4.7,0.448,1.6,0.083,2.8,4,-2,22,6.6,2.9,NBA,10.7,103,2.4,4,13.5,3.6,2.3,Kent Bazemore,2,-3.3,0.062,3.2,0.025,0.206,7.1,0
364,0,-0.2,10.9,5.5,,10.4,0.286,0,0.214,0.1,SG,0,0.1,0.3,0.5,10.9,0.2,0,0.571,0.8,0.75,10,64,0.6,106,0.3,BOS,1.3,1.6,0,0.5,0.143,0,0.073,0.8,0,1.6,0.2,2.3,0.429,0,0.5,0.429,1,1,2.3,0.6,6.5,5.8,0.5,0.1,1.6,0,8.6,21,2.3,15.9,2016-17,0,1.3,0,3.1,0.667,5.5,7,0.5,0,0.5,0.4,0.5,-2.6,11,9.4,0,NBA,15.3,107,3.4,1,6.7,0,0.2,James Young,0,-2.4,0.071,1,0.071,0.071,4.7,0
371,0,-1,17.9,13.2,0.889,18.2,0.268,1,0.176,1.2,SG,0.3,0.5,3,0.201,16.5,0.5,-0.1,0.454,2.3,0.108,12.4,604,6.8,103,0.7,POR,9.2,3.3,0.393,0.201,0.196,0.3,0.041,3.6,0,0.9,0.6,1.4,0.417,0.221,0.799,0.561,0.583,0.818,1.4,1.7,17.4,25.2,0.444,0.2,1.1,0.8,8.2,28,5.7,12.8,2016-17,0.407,8.5,0.5,6,0.348,3.3,7,0.494,1.7,0.45,3.1,3.5,-2.9,24,9.1,3.2,NBA,15.9,113,2.5,1,11.5,3.6,1.7,Evan Turner,1.9,-1.8,0.289,4.2,0.005,0.137,6.9,0
377,0,-3.6,39.1,18.3,0.886,33.4,0.331,21,0.347,2.2,PG,2.7,3,6.2,0.352,28.3,2.2,0.9,0.477,3.4,0.311,24.8,699,12.2,117,0.9,BOS,26,3.5,0.538,0.352,0.144,0.1,0.207,2.1,0,3.3,0.5,1.4,0.425,0.468,0.648,0.173,0.547,0.63,1.4,6.6,32.6,33.3,0.484,0.3,0.8,0.4,3.9,27,9.3,12.6,2016-17,0.528,18.8,0.2,8.7,0.458,9.9,3.1,0.573,7.8,0.246,5.8,8,3.1,21,4.3,11.7,NBA,6.9,111,1.7,0,9,13.2,2.3,Isaiah Thomas,8.8,6.7,0.091,2.6,0,0.066,12,0
384,4,0,16.4,8.4,0.643,18.5,0.281,6,0.195,1.8,PG,-0.1,0.4,3.9,0.481,16.2,1.3,0.1,0.448,3,0.395,10.4,572,5.1,96,1.2,BOS,9.9,4,0.294,0.481,0.173,0.4,0.03,3.1,0,2.2,0.9,2,0.368,0.227,0.519,0.202,0.472,0.96,2,4.7,18.7,30.1,0.435,0.5,1.6,1.2,6.6,22,6.5,17,2016-17,0.545,9.7,0.7,3.8,0.389,7.8,5.1,0.462,1.4,0.469,2.3,3.6,-1.4,19,7.2,2.4,NBA,11.1,108,3.4,2,14.3,3.7,2.4,Marcus Smart,2.2,-1.4,0.059,4,0.011,0.092,5.9,0
