,fg3a_heave,dbpm,pts_per_poss,fg2a_per_poss,ft_pct,usg_pct,fg3_pct,gs,pct_fga_00_03,tov_per_g,pos,ows,ws,ast_per_g,fg3a_pct_fga,fga_per_poss,fg3_per_g,vorp,fg2_pct,tov_per_poss,fg2_pct_ast,per,mp,fg2a_per_g,off_rtg,stl_per_g,team_id,pts_per_g,pf_per_poss,fg_pct_16_xx,fg3a_per_fga_pct,pct_fga_03_10,blk_per_g,ws_per_48,drb_per_g,fg3_heave,fg3_per_poss,orb_per_g,stl_per_poss,fg_pct,fta_per_fga_pct,fg2a_pct_fga,pct_fg3a_corner,fg_pct_00_03,fg3_pct_ast,stl_pct,fg3a_per_g,ast_pct,mp_per_g,efg_pct,dws,orb_per_poss,blk_pct,trb_per_poss,age,ast_per_poss,avg_dist,year,fg_pct_10_16,fga_per_g,blk_per_poss,fg2_per_poss,fg3_pct_corner,fg3a_per_poss,drb_per_poss,ts_pct,ft_per_g,fg_pct_03_10,fg2_per_g,fg_per_g,bpm,g,trb_pct,ft_per_poss,lg_id,drb_pct,def_rtg,orb_pct,fg2_dunk,tov_pct,fta_per_poss,pf_per_g,name,fta_per_g,obpm,pct_fga_10_16,trb_per_g,pct_fg2_dunk,pct_fga_16_xx,fg_per_poss,allstar
69,1,4.6,42.2,25.2,0.81,41,0.333,22,0.333,5.6,PG,2.4,3.6,11.3,0.232,32.8,1.9,3.2,0.456,7.6,0.151,29.8,785,18.5,110,1.3,OKC,31,3.3,0.324,0.232,0.083,0.4,0.223,8.6,0,2.5,2.2,1.8,0.427,0.437,0.768,0.114,0.582,0.39,1.8,5.6,58.6,35.7,0.466,1.3,3,0.8,14.8,28,15.4,12.2,2016-17,0.448,24.1,0.5,11.5,0.357,7.6,11.7,0.539,8.5,0.182,8.5,10.3,14.3,22,16.9,11.6,NBA,26.1,102,7.1,15,16.3,14.3,2.4,Russell Westbrook,10.5,9.7,0.218,10.9,0.036,0.134,14,0
76,0,2.8,17.6,14.1,0.7,18.8,0,0,0.301,1.1,PF,0.1,0.5,1.6,0.014,14.3,0,0.1,0.528,5.1,0.895,14.3,245,3.1,102,0.5,GSW,3.9,7.2,0.5,0.014,0.205,0.5,0.103,1.9,0,0,0.7,2.3,0.521,0.274,0.986,0,0.727,,2.3,0,19.6,10.7,0.521,0.4,3.3,3.8,11.7,36,7,10.2,2016-17,0.286,3.2,2.3,7.4,,0.2,8.4,0.55,0.6,0.4,1.7,1.7,0.4,23,13.4,2.7,NBA,17.9,102,8.2,3,24.1,3.9,1.6,David West,0.9,-2.4,0.096,2.6,0.041,0.384,7.4,0
82,0,-3.3,31.3,13.6,0.887,26.1,0.387,23,0.162,2,SG,1.2,1.7,2.1,0.451,24.7,3,0.1,0.55,2.8,0.769,16.7,776,9.6,109,0.7,GSW,22,3,0.457,0.451,0.052,0.3,0.108,3,0,4.3,0.6,0.9,0.476,0.155,0.549,0.271,0.708,1,0.9,7.9,9.6,33.7,0.564,0.5,0.8,0.6,5.1,26,3,17.5,2016-17,0.481,17.4,0.4,7.5,0.367,11.2,4.3,0.592,2.4,0.571,5.3,8.3,-1.3,23,5.8,3.4,NBA,9.2,110,2,1,9.5,3.8,2.1,Klay Thompson,2.7,2,0.135,3.6,0.002,0.202,11.8,0
93,1,0.3,19.1,12.2,0.548,16.8,0.409,22,0.356,1.4,PF,0.7,1.3,1.5,0.212,15.5,0.8,0.4,0.567,2.3,0.72,15.1,656,7.5,109,1.1,IND,11.7,2.7,0.222,0.212,0.293,0.5,0.096,4.4,0,1.3,1.7,1.8,0.534,0.149,0.788,0.477,0.676,0.944,1.8,2,7.6,29.8,0.577,0.6,2.8,1.3,10,28,2.4,9.9,2016-17,0.455,9.5,0.7,6.9,0.429,3.3,7.2,0.58,0.8,0.541,4.2,5,0.4,22,11.1,1.3,NBA,16,108,6.2,6,12.3,2.3,1.6,Thaddeus Young,1.4,0.1,0.053,6.1,0.029,0.087,8.3,0
99,0,-2.4,19.4,12.4,0.542,20.9,0.167,9,0.375,0.5,SF,-0.2,0,0.3,0.375,19.9,0.4,-0.2,0.5,1.5,0.68,8.6,206,3.8,90,0.3,MIA,6,3.7,0.636,0.375,0.05,0.3,-0.002,1.9,0,1.2,0.6,1,0.375,0.3,0.625,0.267,0.467,0.8,1,2.3,3.1,15.8,0.406,0.2,2,1.5,8.2,25,1,13.4,2016-17,0.667,6.2,1,6.2,0.125,7.4,6.2,0.431,1,0,1.9,2.3,-6.6,13,8.6,3.2,NBA,13.4,108,4.1,2,6.2,6,1.2,Derrick Williams,1.8,-4.1,0.075,2.5,0.025,0.138,7.4,0
101,0,-1.9,18.7,6.9,,17.6,0.353,0,0.111,0.3,SG,0,0.1,0.2,0.63,18.7,1.1,-0.1,0.45,1,0.667,9.5,143,1.8,95,0.5,MIL,4.9,2.8,0.571,0.63,0.093,0.4,0.036,1.1,0,4.2,0,1.7,0.389,0,0.37,0.324,0.833,0.917,1.7,3.1,2.1,13,0.5,0.1,0,2.5,4.2,20,0.7,19.3,2016-17,0,4.9,1.4,3.1,0.364,11.8,4.2,0.5,0,0,0.8,1.9,-4,11,4.6,0,NBA,8.9,107,0,0,5.3,0,0.7,Rashad Vaughn,0,-2.1,0.037,1.1,0,0.13,7.3,0
108,0,0.6,10.1,5.8,0.813,10.9,0.438,0,0.1,0.2,PG,0.1,0.3,1,0.4,9.6,0.4,0,0.167,1,0.5,8.3,211,1.3,102,0.6,ORL,2.3,3.1,0.2,0.4,0.05,0,0.07,1.1,0,1.7,0.1,2.7,0.275,0.4,0.6,0.188,0,0.857,2.7,0.9,12.4,11.7,0.363,0.3,0.5,0,5.1,32,4.3,17.8,2016-17,0.25,2.2,0,1,0.333,3.9,4.6,0.446,0.7,0,0.2,0.6,-2.8,18,5.3,3.1,NBA,9.7,105,1,0,7.8,3.9,0.7,C.J. Watson,0.9,-3.4,0.2,1.2,0,0.25,2.7,0
115,1,0,32.5,20.7,0.824,31.5,0.371,19,0.317,4.5,PG,1.3,2,9.5,0.197,25.8,1.4,1.2,0.476,6.2,0.118,23.8,684,15.1,108,2.2,WAS,23.6,3.3,0.402,0.197,0.118,0.6,0.143,3.5,0,1.9,0.8,3,0.455,0.334,0.803,0.143,0.637,0.577,3,3.7,45.8,36,0.492,0.7,1.2,1.4,5.9,26,13.1,12.5,2016-17,0.318,18.7,0.8,9.9,0.2,5.1,4.8,0.549,5.2,0.357,7.2,8.5,4.7,19,6.8,7.1,NBA,11.1,107,2.6,4,17.2,8.6,2.4,John Wall,6.3,4.7,0.124,4.3,0.011,0.244,11.7,0
119,0,-1.8,15.1,4,0.778,13.8,0.29,19,0.112,0.7,SF,0.3,0.6,1,0.704,13.6,1.6,0,0.689,1.2,0.645,8.3,556,2.4,104,0.4,MIL,8.9,2.9,0.8,0.704,0.059,0.1,0.055,3.4,0,2.8,0.6,0.6,0.408,0.118,0.296,0.383,0.824,1,0.6,5.6,5,29.3,0.51,0.4,1,0.3,6.7,25,1.7,20.1,2016-17,0.333,8,0.2,2.8,0.268,9.5,5.7,0.528,0.7,0.667,1.6,3.3,-2.2,19,7.4,1.2,NBA,12.2,110,2.2,2,8,1.6,1.7,Tony Snell,0.9,-0.5,0.059,3.9,0.013,0.066,5.5,0
126,0,-1.9,11.2,2.5,1,11.3,0.214,0,0.105,0.4,PF,0.1,0.1,0.7,0.737,9.7,0.3,0,0.8,2,0.25,7.5,99,0.6,108,0.1,SAC,2.4,4.6,,0.737,0.105,0,0.049,1.1,0,1.5,0.7,0.5,0.368,0.263,0.263,0.357,1,1,0.5,1.6,8.6,11,0.447,0,3.1,0,8.1,31,3.1,19.6,2016-17,1,2.1,0,2,0.2,7.1,5.1,0.519,0.6,0.5,0.4,0.8,-3,9,9.3,2.5,NBA,11.6,113,6.9,1,15.9,2.5,1,Anthony Tolliver,0.6,-1.1,0.053,1.8,0.053,0,3.6,0
