,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP,id
415,2008,48,PHO,Malik Hairston,University of Oregon,2,62,472,149,77,29,0.512,0.16699999999999998,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-1.9,0.0,M200848
416,2008,49,GSW,Richard Hendrix,University of Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R200849
417,2008,50,SEA,DeVon Hardin,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D200850
418,2008,51,DAL,Shan Foster,Vanderbilt University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S200851
419,2008,52,MIA,Darnell Jackson,University of Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059000000000000004,-4.9,-0.7,D200852
420,2008,53,UTA,Tadija Dragicevic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T200853
421,2008,54,HOU,Maarty Leunen,University of Oregon,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M200854
422,2008,55,POR,Mike Taylor,Iowa State University,1,51,771,289,87,106,0.41200000000000003,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.027999999999999997,-5.5,-0.7,M200855
423,2008,56,SEA,Sasha Kaun,University of Kansas,1,24,95,22,26,3,0.529,0.0,0.444,4.0,0.9,1.1,0.1,0.2,0.09300000000000001,-0.7,0.0,S200856
424,2008,57,SAS,James Gist,University of Maryland,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J200857
425,2008,58,LAL,Joe Crawford,University of Kentucky,1,2,23,9,4,1,0.3,0.25,1.0,11.5,4.5,2.0,0.5,0.0,0.037000000000000005,-5.6,0.0,J200858
426,2008,59,DET,Deron Washington,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D200859
427,2008,60,BOS,Semih Erden,,2,69,928,262,190,29,0.546,0.0,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-2.0,0.0,S200860
428,2009,1,LAC,Blake Griffin,University of Oklahoma,6,410,14491,8801,3927,1654,0.521,0.271,0.6609999999999999,35.3,21.5,9.6,4.0,54.7,0.18100000000000002,4.1,22.2,B20091
429,2009,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.5670000000000001,0.0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,H20092
430,2009,3,OKC,James Harden,Arizona State University,7,534,17741,11262,2434,2620,0.44299999999999995,0.368,0.855,33.2,21.1,4.6,4.9,76.3,0.20600000000000002,5.3,32.6,J20093
431,2009,4,SAC,Tyreke Evans,University of Memphis,7,433,14445,7220,2117,2293,0.446,0.28800000000000003,0.757,33.4,16.7,4.9,5.3,23.1,0.077,0.9,10.7,T20094
432,2009,5,MIN,Ricky Rubio,,5,278,8748,2817,1193,2309,0.368,0.318,0.815,31.5,10.1,4.3,8.3,17.1,0.094,1.4,7.5,R20095
433,2009,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.33799999999999997,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7,J20096
434,2009,7,GSW,Stephen Curry,Davidson College,7,495,17259,11089,2149,3393,0.47700000000000004,0.444,0.902,34.9,22.4,4.3,6.9,71.6,0.19899999999999998,6.2,35.6,S20097
435,2009,8,NYK,Jordan Hill,University of Arizona,7,402,7645,3220,2375,322,0.49700000000000005,0.136,0.698,19.0,8.0,5.9,0.8,16.4,0.10300000000000001,-1.9,0.2,J20098
436,2009,9,TOR,DeMar DeRozan,University of Southern California,7,521,17655,9436,2038,1371,0.442,0.28300000000000003,0.825,33.9,18.1,3.9,2.6,35.4,0.096,-1.2,3.6,D20099
437,2009,10,MIL,Brandon Jennings,,7,460,14837,7151,1432,2712,0.39,0.35,0.799,32.3,15.5,3.1,5.9,28.1,0.091,0.9,10.9,B200910
438,2009,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.41200000000000003,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4,T200911
439,2009,12,CHA,Gerald Henderson,Duke University,7,463,12187,5325,1531,897,0.442,0.319,0.7909999999999999,26.3,11.5,3.3,1.9,16.2,0.064,-2.1,-0.4,G200912
