,0,1,2,3
0,Kyrie Irving,20.972737181516777,-17.191246286802137,9.9724420865669448
1,J.R. Smith,9.682052063503038,-4.0582333064904814,-4.751480138937092
2,LeBron James,125.3476982494339,5.0770779768507373,-10.779867822678694
3,Archie Goodwin,-17.955065733863343,-5.5890310753826817,5.5362863408648275
4,Quincy Acy,-15.68515955324049,9.5474409108496801,-5.5349900415930886
5,John Lucas III,-14.226748997473347,-13.249714009486201,-3.0913789329246222
6,Ty Lawson,20.269732557414102,-12.63752287121696,-4.9640070726055967
7,Metta World Peace,-33.22236601215856,-0.82123045986211807,-0.34062978734902521
8,JaVale McGee,-7.4182269383322357,13.818066606127362,8.7097237848537681
9,Alan Anderson,-14.533751591933123,-1.784050052608275,-5.2449460191959414
10,Jerryd Bayless,-4.8117783473789828,-11.380136701774751,-2.287198443154931
11,Dion Waiters,-12.928783475480051,-10.460053029597818,8.961876004101196
12,Kevin Seraphin,-19.988931203350983,2.7896664169893741,11.024513517229328
13,Damjan Rudez,-21.203567647072518,-1.1372182072706809,-14.71025374134887
14,Beno Udrih,4.4105137601019901,-9.7531546991518852,-4.7360656481212331
15,Tyler Zeller,-7.977946201581009,8.4280247161080286,5.2121980293649983
16,Steve Novak,-8.3825724319221067,6.8725966884423633,-20.673442534651414
17,Ryan Kelly,-17.194813029335396,-0.7612802190015,-6.071823493415498
18,Kris Humphries,-5.4535399598918088,10.121547196411013,4.0544011103431208
19,Dwight Howard,37.586782079683907,18.885724975807275,5.8706468229676299
20,Kent Bazemore,-18.723560848154957,-6.6046506810492671,-1.3587624378806604
21,Paul Millsap,24.489761032014393,9.2136540348909968,3.1079625306523591
22,Mike Muscala,-15.122483107071893,7.4844337937108234,-2.5977759448739972
23,Tiago Splitter,-1.066525002967571,11.394725034016888,2.9672515195104294
24,Kyle Korver,16.13850244653198,4.2993136300930539,-19.111106748272498
25,Thabo Sefolosha,-11.409094641904955,3.5719222808465481,-9.8972837035454138
26,Tim Hardaway,-10.682777740715149,-3.4567876225364773,-4.0098397766820897
27,Dennis Schroder,-9.3348948221591659,-24.368793628437423,7.4756199175866724
28,Mike Scott,-10.717677113714974,0.83165714180030548,0.49519153561294155
29,Jared Sullinger,-6.7839145215654337,0.90621115146064135,9.6018951974734854
30,DeMar DeRozan,16.959094768155456,-1.030700117595285,11.337440381509207
31,Cory Joseph,-9.2581093058596569,-4.4153336577082642,-3.2248946690167068
32,DeMarre Carroll,-7.7424870736710592,5.5165601824708661,-6.0048739074730948
33,Terrence Ross,-12.062488631753983,-0.49052514315071283,-5.6436312497837795
34,Jonas Valanciunas,2.1043564227176215,16.162508657924196,6.6409706948117995
35,Kyle Lowry,29.287303627522299,-9.7696439785797011,-9.5919124313149755
36,Patrick Patterson,-4.8211476340377599,7.0272095397015519,-6.0253242390626225
37,Brian Roberts,-8.2745731228541963,-12.43177193273398,-3.7316022959783264
38,Marvin Williams,9.4440240887219851,9.092508861903724,-6.3518593850855209
39,Roy Hibbert,-4.9520066545213623,5.5334038184032686,10.468031489649993
40,Ramon Sessions,9.5389244571502054,-11.515817282604464,2.3127289506444777
41,Nicolas Batum,9.3242849836795454,-1.8837502394803263,-9.8023275479585106
42,Marco Belinelli,-4.9447227453794431,-2.873023516489646,-5.9334937160775354
43,Spencer Hawes,-10.950056617956349,-1.8697193700809249,4.7538445324245551
44,Jeremy Lamb,-12.274650121495362,-3.147158910374761,-0.94818442376600776
45,Cody Zeller,-10.55617782550261,7.7068615894367509,2.1928910418054075
46,Kemba Walker,8.1801297934251131,-18.775015506806845,7.6311511659492046
47,Michael Kidd-Gilchrist,-12.25601032847668,5.882059243174818,5.5531812302332106
48,Isaiah Canaan,-14.139463161607186,-9.1886007740023921,-7.2419967341972429
49,Dwyane Wade,67.359589831485323,-5.5417099784043602,7.8854398762624127
50,Rajon Rondo,8.6731199304670366,-22.994417302199789,0.644338637680126
51,Robin Lopez,6.0303814143021635,18.115664812448298,0.88340140138578582
52,Jimmy Butler,11.425131939479654,3.4001013635560859,-1.3718427031068234
53,Doug McDermott,-15.472896474628593,2.8701272170952747,-3.639959013431461
54,Michael Carter-Williams,-10.929254641159691,-24.165252435116962,15.201262627701007
55,Nikola Mirotic,-9.307429616736254,-1.9542463352106205,-2.2242197594829483
56,Taj Gibson,-3.9327460279177022,10.36060187114257,5.8298253454632922
57,Jason Terry,-22.849004565795266,1.0768971402356953,-14.4612965692777
58,Miles Plumlee,-16.59898622563459,12.616974389537489,2.9354219024347583
59,Matthew Dellavedova,-11.220316389286301,-11.219598832971663,-12.358682944561624
60,Mirza Teletovic,-11.56496321324275,-1.973856470628564,-5.6574139145123628
61,Michael Beasley,-10.851506765258426,-4.100187316724794,17.473088499319932
62,Greg Monroe,12.929329834070952,7.7464760547876024,11.874745602726213
63,Khris Middleton,-2.4776037719892896,-5.1725497243641483,1.2051036743351045
64,Jabari Parker,-8.8136905565370416,1.5305984187686064,13.911135567611106
65,Giannis Antetokounmpo,-5.3428108073832687,-3.0523399990487694,6.7081877387789524
66,John Henson,-11.176364842250964,6.7129109481393607,9.7537407768816671
67,Tony Snell,-21.076915651639165,-1.2300183220899639,-8.9322296783033632
68,Gerald Green,-9.9493504046567978,-3.6809142025081441,1.3143580510393429
69,Al Horford,22.746407410754273,8.2299875106327942,2.2435918026932131
70,Amir Johnson,8.4901947079413969,15.764052550792213,-4.8573042899631407
71,Jonas Jerebko,-8.6184791509054328,8.3302594860742474,-3.5951330461353241
72,Jae Crowder,-10.496618910243384,1.9079028060086349,-7.1509143491836022
