name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Eric Bledsoe,0.5,2.8,11.8,0.485,4.3,199,1.9,0.7,3.4,0.448,26.1,2.2,0.487,2.6,2.6,0.781,1.4,0.33,3.5,361,7.2,3.7,0.8,4.2,9.4
Jordan Hill,0.7,3.7,8,0.5,0.8,120,2.2,0,1.8,0.497,19,0.1,0.498,1,1.3,0.699,0.4,0.136,3.3,404,6.7,5.9,2.2,3.4,6.7
Brandon Rush,0.5,2.6,7,0.451,1,130,1.3,1.1,0.9,0.429,21.9,2.7,0.518,0.9,0.6,0.704,0.5,0.402,1.5,439,3.4,3,0.4,2.6,6.1
Kris Dunn,0.3,2.6,4.9,0.346,4,5,2.6,0.4,2,0.364,22.3,1,0.409,1.7,1,0.5,1.6,0.429,1.3,7,3.7,3.3,0.7,1.7,4.7
Nemanja Bjelica,0.4,2.7,5,0.544,1.3,0,2.6,0.8,0.9,0.449,17.5,2.1,0.547,0.8,0.7,0.71,0.4,0.366,1,67,1.9,3.5,0.8,1.8,4
Tyus Jones,0.1,1.2,4.5,0.381,3.1,0,0.9,0.5,1.2,0.353,16.4,1.6,0.408,0.9,0.9,0.76,1,0.303,1.1,42,2.8,1.5,0.3,1.5,4.4
Karl-Anthony Towns,1.6,7.5,18.6,0.558,2,89,3,0.4,3.4,0.54,32.3,1.2,0.556,2.2,2.8,0.81,0.7,0.36,7.2,89,13,10.3,2.8,7.7,14.2
Adreian Payne,0.2,2.4,4.1,0.417,0.7,24,1.9,0.1,0.9,0.396,14.3,0.5,0.409,0.9,0.6,0.662,0.4,0.233,1.6,86,3.8,3.2,0.8,1.7,4.3
Zach LaVine,0.2,2.5,12.5,0.467,3.3,80,2.2,1.2,2.5,0.441,26.7,3.2,0.499,2.2,2,0.819,0.8,0.383,3.4,166,7.3,2.8,0.3,4.6,10.5
Andrew Wiggins,0.6,2.6,19,0.469,2,170,2.2,0.6,6.4,0.45,35.6,2,0.472,2.2,4.8,0.758,1,0.325,6.1,170,13,4.1,1.5,6.8,15
Gorgui Dieng,1.3,4.7,8.5,0.524,1.6,110,2.4,0,2.7,0.519,24.5,0.1,0.521,1.5,2.1,0.777,0.9,0.276,3.2,222,6.1,7,2.3,3.2,6.2
Shabazz Muhammad,0.1,1.8,9.6,0.505,0.6,13,1.1,0.4,2.7,0.472,18,1.3,0.5,0.8,2,0.741,0.3,0.317,3.2,164,6.3,3,1.2,3.6,7.6
Ricky Rubio,0.1,3.6,10.1,0.384,8.3,260,2.6,0.6,3.9,0.368,31.5,2,0.406,2.8,3.2,0.813,2.2,0.317,2.5,280,6.5,4.3,0.7,3.1,8.5
Seth Curry,0.1,1.2,6.6,0.466,1.6,11,1.1,1.1,1,0.446,16.2,2.6,0.551,0.8,0.8,0.81,0.6,0.425,1.2,56,2.6,1.4,0.2,2.3,5.3
Dirk Nowitzki,0.9,6.8,22,0.498,2.5,1312,2.4,1.3,5.9,0.474,35.2,3.3,0.513,1.8,5.2,0.879,0.8,0.381,6.5,1343,13,7.9,1.1,7.7,16.4
Nicolas Brussino,0,0.3,1,0,0.5,0,0,0.2,0.7,0.2,5.2,0.5,0.3,0.3,0.5,0.75,0.5,0.333,0,6,0.3,0.5,0.2,0.2,0.8
Dorian Finney-Smith,0.1,1,2.4,0.667,0.1,2,1,0.4,0.9,0.385,12.9,1.4,0.5,0.3,0.6,0.667,0.6,0.3,0.3,7,0.4,1.4,0.4,0.7,1.9
A.J. Hammons,0,0.3,3,0.5,0.3,0,0.3,0.3,0.7,0.6,2.7,0.3,0.7,0,0.7,1,0,1,0.7,3,1.3,1,0.7,1,1.7
Dwight Powell,0.3,2.3,5.1,0.52,0.6,3,1.6,0.1,1.8,0.495,13,0.3,0.502,0.5,1.3,0.731,0.5,0.194,1.8,106,3.5,3.4,1.1,1.9,3.8
Deron Williams,0.3,2.7,16.8,0.481,8.3,732,2.6,1.4,4.3,0.445,34.8,3.9,0.498,2.9,3.6,0.821,1.1,0.357,4.5,786,9.3,3.2,0.4,5.9,13.3
Harrison Barnes,0.2,3.6,10.4,0.479,1.4,254,1.9,0.9,2.2,0.449,28.3,2.5,0.503,1,1.6,0.749,0.7,0.375,3,315,6.2,4.7,1,3.9,8.7
Salah Mejri,1,2.5,3.8,0.67,0.3,6,1.7,0,1.2,0.663,11.5,0,0.663,0.7,0.7,0.596,0.2,0,1.5,40,2.3,3.7,1.2,1.5,2.3
J.J. Barea,0,1.7,8.6,0.457,3.5,89,1.5,0.9,1.4,0.423,19.4,2.5,0.481,1.4,1.1,0.801,0.4,0.352,2.4,667,5.2,2,0.3,3.3,7.7
Wesley Matthews,0.2,2.5,14,0.479,2.1,466,2.2,2.1,2.8,0.432,32.6,5.4,0.526,1.3,2.3,0.83,1.1,0.384,2.7,526,5.7,3.1,0.6,4.8,11.1
Justin Anderson,0.5,2.2,4.3,0.519,0.6,11,0.9,0.4,1.1,0.403,12.9,1.7,0.46,0.5,0.9,0.775,0.4,0.257,1.1,63,2.1,2.7,0.5,1.5,3.8
Devin Harris,0.2,2,11.7,0.482,4.4,445,2.3,0.8,3.9,0.437,26.2,2.5,0.483,1.9,3.1,0.794,1.1,0.324,3.1,781,6.4,2.3,0.3,3.9,8.9
Andrew Bogut,1.6,6.4,10.3,0.536,2.3,636,3.2,0,2.3,0.535,29.4,0,0.535,1.8,1.3,0.556,0.7,0.12,4.5,650,8.4,9,2.6,4.5,8.4
Solomon Hill,0.2,2.4,6,0.446,1.5,89,1.6,0.6,1.5,0.404,20.8,1.8,0.46,0.9,1.2,0.819,0.7,0.325,1.5,177,3.4,3.1,0.7,2.1,5.2
Terrence Jones,1.2,3.9,10.3,0.55,1,107,1.8,0.4,2.3,0.51,23.9,1.3,0.535,1,1.5,0.623,0.6,0.305,3.8,185,6.9,5.7,1.8,4.2,8.2
Tim Frazier,0.1,1.8,5.9,0.446,4,13,1.8,0.4,1.6,0.422,17.4,1.2,0.459,1.6,1.1,0.673,0.7,0.337,1.8,70,4.1,2.4,0.6,2.2,5.3
Buddy Hield,0.3,2.3,9.4,0.477,1,0,1.6,1.1,0.9,0.337,21.3,5.6,0.388,1.3,0.8,0.857,0.6,0.2,2.6,8,5.5,2.9,0.6,3.8,11.1
Langston Galloway,0.3,3.1,9,0.421,2.7,48,2.3,1.1,1.5,0.393,27,3.2,0.457,0.9,1.1,0.774,1,0.345,2.3,135,5.4,3.7,0.6,3.4,8.6
E'Twaun Moore,0.2,1.3,6,0.459,1.6,54,1.4,0.7,0.6,0.429,17.5,1.8,0.488,0.8,0.5,0.745,0.6,0.367,1.8,315,3.8,1.7,0.4,2.4,5.6
Dante Cunningham,0.5,2.5,6,0.484,0.7,116,1.8,0.1,0.9,0.468,21,0.4,0.48,0.5,0.6,0.65,0.7,0.283,2.5,519,5.2,3.7,1.2,2.6,5.7
Omer Asik,0.8,5.2,5.6,0.529,0.6,248,2,0,2.4,0.529,20.2,0,0.529,1.2,1.3,0.553,0.4,0,2.1,430,4,7.5,2.3,2.1,4
Alexis Ajinca,0.6,2.6,5.3,0.509,0.5,61,2.3,0,1.1,0.503,13,0.1,0.508,0.9,0.9,0.805,0.3,0.316,2.1,258,4.2,3.8,1.2,2.2,4.3
Tyreke Evans,0.4,3.9,16.7,0.474,5.3,370,2.4,0.6,4.5,0.446,33.4,2.1,0.468,2.8,3.4,0.757,1.3,0.288,5.7,433,12,4.9,0.9,6.3,14.2
Jrue Holiday,0.4,2.7,14.1,0.46,6.1,370,2.3,1.1,2.3,0.439,32.2,2.9,0.481,2.7,1.9,0.801,1.4,0.368,4.5,437,9.8,3.5,0.8,5.6,12.7
Anthony Davis,2.4,7.2,21.1,0.525,1.7,263,2.5,0.2,6.2,0.516,34,0.6,0.521,1.6,4.8,0.782,1.3,0.272,7.9,268,15,9.7,2.6,8,15.6
Quincy Pondexter,0.2,1.4,5.3,0.472,0.8,47,1.5,0.7,1,0.424,18.1,2,0.506,0.6,0.7,0.732,0.4,0.365,1.2,279,2.5,2,0.7,1.9,4.5
James Jones,0.3,1.5,5.4,0.4,0.5,91,1.3,1.1,0.9,0.399,16.2,2.8,0.527,0.3,0.8,0.847,0.3,0.399,0.6,663,1.6,1.9,0.3,1.8,4.4
DeAndre Liggins,0.1,0.9,1.6,0.547,0.4,1,0.7,0.1,0.6,0.474,6.9,0.4,0.52,0.4,0.3,0.486,0.4,0.304,0.5,61,0.9,1.2,0.3,0.6,1.2
Richard Jefferson,0.3,3.3,13.3,0.492,2.1,796,2.3,0.9,4.2,0.465,30,2.4,0.51,1.6,3.2,0.769,0.7,0.379,3.7,1089,7.5,4.1,0.8,4.6,9.9
Chris Andersen,1.4,3.4,5.5,0.542,0.5,45,1.9,0,2.4,0.533,17.8,0.1,0.537,0.7,1.5,0.654,0.4,0.231,1.9,685,3.5,5.1,1.7,1.9,3.6
Jordan McRae,0,0.7,4.2,0.417,1,1,0.8,0.4,1.2,0.427,8.4,0.9,0.488,0.6,0.9,0.75,0.1,0.455,1,24,2.5,0.8,0.2,1.5,3.4
Tristan Thompson,0.7,5.2,9.6,0.505,0.8,245,2.4,0,3.4,0.504,28.5,0,0.504,1.2,2.1,0.628,0.5,0,3.7,395,7.4,8.6,3.4,3.7,7.4
Mo Williams,0.1,2.3,13.2,0.46,4.9,525,2.5,1.3,2.2,0.434,29.2,3.5,0.493,2.3,1.9,0.871,0.9,0.378,3.6,818,7.9,2.8,0.5,5,11.4
Iman Shumpert,0.2,2.8,7.4,0.435,2,168,2.5,1,1.2,0.395,25.5,2.9,0.464,1.3,0.9,0.76,1.3,0.337,1.8,301,4.1,3.6,0.8,2.8,7
Kevin Love,0.5,8.3,18.4,0.478,2.4,441,2.2,1.4,5.8,0.444,32.7,4,0.496,2,4.7,0.816,0.7,0.362,4.7,523,9.7,11.5,3.2,6.1,13.7
Mike Dunleavy,0.3,3.6,11.5,0.482,2.3,583,2.1,1.3,2.4,0.441,28.3,3.6,0.513,1.4,2,0.803,0.8,0.376,2.8,940,5.7,4.4,0.7,4.1,9.3
Channing Frye,0.7,3.9,9.2,0.469,1,423,2.8,1.2,1.3,0.438,23.8,3,0.511,1,1.1,0.82,0.6,0.387,2.3,732,5,4.8,1,3.5,8
