name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Dejounte Murray,0,0.5,2,0,0.5,0,0.5,0.5,1,0.25,5.5,0.8,0.375,0.5,0.5,0.5,0,0.667,0,4,1.3,0.5,0,0.5,2
Dewayne Dedmon,0.8,2.9,3.9,0.538,0.2,41,2.2,0,1.2,0.536,13.2,0,0.536,0.7,0.8,0.656,0.3,0,1.6,156,2.9,4.5,1.5,1.6,2.9
Manu Ginobili,0.3,3,14,0.501,3.9,349,2.1,1.5,4.2,0.449,26.2,3.9,0.521,2.1,3.4,0.827,1.4,0.369,3.1,930,6.2,3.7,0.7,4.5,10.1
Pau Gasol,1.7,6.8,18.1,0.514,3.3,1050,2.2,0.1,5.5,0.51,35.2,0.2,0.513,2.3,4.2,0.755,0.5,0.305,6.9,1063,13.4,9.5,2.7,6.9,13.6
Jonathon Simmons,0.1,1.6,6.2,0.521,1.2,3,1.9,0.3,1.7,0.49,15.9,0.9,0.525,1,1.3,0.741,0.5,0.362,2,63,3.8,1.9,0.3,2.3,4.7
LaMarcus Aldridge,1,5.7,19.2,0.492,1.9,688,2.6,0.1,4.4,0.487,34.9,0.3,0.49,1.6,3.5,0.802,0.8,0.268,7.7,729,15.7,8.4,2.6,7.8,16.1
Danny Green,0.8,2.9,9.1,0.465,1.6,337,1.6,1.8,1,0.427,24.8,4.5,0.549,1,0.9,0.819,1,0.403,1.4,403,3,3.4,0.6,3.2,7.5
Kawhi Leonard,0.7,5,14.6,0.538,2,305,1.8,1.2,3,0.498,29.9,3,0.551,1.2,2.5,0.839,1.8,0.391,4.3,332,8,6.3,1.3,5.4,10.9
Kyle Anderson,0.3,2.6,3.7,0.449,1.3,25,1.1,0.2,0.8,0.435,14.8,0.4,0.457,0.6,0.6,0.737,0.7,0.34,1.3,119,3,2.9,0.3,1.5,3.4
Patty Mills,0.1,1.2,7.6,0.481,1.9,14,1.1,1.3,0.7,0.436,16,3.2,0.532,0.8,0.6,0.841,0.6,0.391,1.6,369,3.3,1.5,0.3,2.8,6.5
Tony Parker,0.1,2.5,16.5,0.512,5.9,1071,1.7,0.4,3.9,0.494,32,1.3,0.51,2.4,2.9,0.754,0.9,0.328,6.1,1084,12,2.9,0.4,6.6,13.3
Joe Johnson,0.2,3.2,16.9,0.472,4.2,1079,1.8,1.6,2.9,0.443,36,4.3,0.497,2,2.3,0.802,0.9,0.372,4.9,1152,10.3,4.1,0.9,6.5,14.6
Jeff Withey,0.8,1.7,3.4,0.532,0.4,14,1.2,0,1.3,0.526,10.8,0,0.526,0.4,0.9,0.716,0.3,0,1.3,152,2.3,2.6,0.9,1.3,2.4
Raul Neto,0,1.2,5.7,0.451,2.1,53,1.5,0.8,0.8,0.43,17.9,1.9,0.506,1.3,0.6,0.743,0.7,0.395,1.4,84,3.1,1.4,0.2,2.1,5
Joe Ingles,0.1,1.8,4.6,0.5,1.7,34,1.4,0.9,0.4,0.418,18.1,2.5,0.535,1,0.3,0.731,0.8,0.371,0.7,169,1.5,2,0.3,1.7,4
Trey Lyles,0.3,3,6.2,0.451,0.8,33,1.4,0.6,1,0.42,17.8,1.8,0.476,0.8,0.7,0.711,0.3,0.354,1.8,89,3.9,3.8,0.7,2.4,5.7
Rodney Hood,0.2,2.7,12.6,0.471,2.3,109,2.5,1.8,2.2,0.424,28.2,4.9,0.508,1.3,1.8,0.821,0.8,0.368,2.7,138,5.8,3.1,0.4,4.5,10.6
Dante Exum,0.2,1.3,4.9,0.429,2.3,41,1.8,1,0.5,0.362,21.8,3.1,0.461,1.4,0.3,0.682,0.5,0.32,0.8,91,1.9,1.6,0.3,1.8,5
Alec Burks,0.2,2.2,10.6,0.448,1.9,42,2,0.6,3.5,0.432,23,1.6,0.467,1.5,2.7,0.751,0.6,0.365,3.1,259,6.9,2.9,0.7,3.7,8.5
Gordon Hayward,0.4,3.2,14.7,0.472,3.4,338,1.8,1.2,4.4,0.438,30.8,3.4,0.492,2.1,3.6,0.817,1,0.359,3.7,446,7.9,4,0.7,4.9,11.3
Derrick Favors,1.4,4.8,11.6,0.513,1.1,256,2.9,0,3.5,0.511,26,0,0.511,1.5,2.3,0.666,0.8,0.059,4.7,437,9.1,7.3,2.5,4.7,9.1
Boris Diaw,0.5,3.3,8.9,0.529,3.5,534,2.2,0.5,1.4,0.495,27.7,1.3,0.526,1.8,1,0.716,0.6,0.341,3.2,994,6.1,4.5,1.2,3.7,7.4
George Hill,0.3,2.6,11.4,0.492,3.3,332,2.1,1.2,2.6,0.452,28.8,3.2,0.519,1.3,2.1,0.803,0.9,0.378,2.8,557,5.8,3.2,0.6,4,8.9
Rudy Gobert,2,5.8,7.3,0.578,1.1,106,2.2,0,3.4,0.577,24.3,0,0.577,1.4,2,0.585,0.6,0,2.6,197,4.6,8.6,2.8,2.6,4.6
Shelvin Mack,0,1.6,6.1,0.468,2.9,43,1.1,0.6,0.9,0.42,16.7,1.9,0.474,1.2,0.7,0.765,0.6,0.324,1.8,284,3.8,1.8,0.2,2.4,5.7
Maurice Harkless,0.6,2.4,6.9,0.527,0.8,127,1.7,0.5,1.5,0.462,22,1.7,0.507,0.9,0.9,0.593,0.9,0.305,2.2,288,4.2,3.5,1.2,2.7,5.9
Meyers Leonard,0.3,3.2,5.8,0.537,0.8,26,2.4,0.6,0.8,0.484,16.5,1.6,0.549,0.8,0.7,0.814,0.2,0.381,1.6,232,3.1,4.1,0.9,2.3,4.7
Allen Crabbe,0.2,1.8,7.1,0.498,1,17,1.9,1,0.9,0.448,20.2,2.6,0.533,0.6,0.8,0.855,0.6,0.385,1.6,156,3.3,2,0.2,2.7,5.9
